         flush [동] 물로 씻어내리다, (얼굴이) 붉어지다 [명] 물로 씻어냄, 홍조
          omit                              [동] ~을 생략하다
       outcome                                   [명] 결과
       despair                         [명] 절망 [동] 절망하다
         alert               [형] 조심하는 [동] 경고하다 [명] 경계
       compact                 [형] 아담한, 빽빽한 [명] 계약, 협정
      likewise                                [부] 마찬가지로
      astonish                            [동] 깜짝 놀라게 하다
    optimistic                                 [형] 낙천적인
         loyal                                [형] 충성스러운
         humid                                   [형] 습한
       pretend                               [동] ~인 척하다
      graduate                        [동] 졸업하다 [명] 졸업생
      delicate                        [형] 연약한, 섬세한, 미묘한
       inflate                [동] 부풀리다, 과장하다, (가격을) 올리다
      adequate                                  [형] 적절한
     physician                                   [명] 의사
         joint                          [명] 관절 [형] 공동의
           via                   [전] ~을 경유해서, ~을 매개로 하여
       passage                          [명] 통로, (책의) 구절
        prefer                              [동] ~을 좋아하다
        vessel                               [명] 선박, 용기
       restore                          [동] 이전상태로 회복시키다
       passive                            [형] 소극적인,수동적인
    experience                         [명] 경험 [동] 경험하다
        marble                                  [명] 대리석
      classify                                 [동] 분류하다
   fundamental                            [형] 근본적인, 필수의
       majesty                        [명] 위엄, 장엄, 왕(M-)
      intimate                             [형] 친밀한, 친숙한
         merit                               [명] 장점, 가치
        launch               [동] 시작하다, 출시하다 [명] 발사, 출시
    conference                                   [명] 회의
     reception                            [명] 접수처, 환영연회
         shrug               [동] 어깨를 으쓱하다 [명] 어깨를 으쓱하기
       vicious                             [형] 악랄한, 타락한
       cherish                               [동] 소중히 하다
        accuse                           [동] 고발하다, 비난하다
       eternal                                  [형] 영원한
        shrink                            [동] 줄어들다, 피하다
     colleague                                   [명] 동료
      transmit                     [동] 보내다, 전염시키다, 전도하다
        copper                    [명] 구리 [형] 구리의, 구릿빛의
         orbit                   [명] 궤도 [동] 궤도를 그리며 돌다
     overwhelm                        [동] 압도하다, 당황하게 하다
       discard                      [동] 폐기하다, 버리다, 처분하다
        famine                          [명] 기근, 굶주림, 기아
          pill                                   [명] 알약
       enhance                                 [동] 강화하다
        immune                         [형] 면역의, 면역성이 있는
      superior                           [형] 뛰어난, 눈에 띄는
        string                         [명] 끈 [동] 끈을 달다
          cope                                 [동] 대처하다
           raw                         [형] 날것의, 가공하지 않은
         apply                           [동] 지원하다, 적용되다
        cattle                                    [명] 소
          loan                    [동] 빌려주다 [명] 대여, 융자금
      obedient                            [형] 유순한, 순종하는
     procedure                               [명] 절차, 수술
          bond                   [명] 유대, 속박 [동] 유대를 맺다
         angle                 [명] 각도, 각 [동] 비스듬히 움직이다
        subtle                        [형] 미묘한, 교묘한, 예민한
        depict                            [동] 묘사하다, 그리다
       radical                           [형] 근본적인, 급진적인
       therapy                                  [명] 치료법
       caution                     [명] 조심, 경고 [동] 경고하다
       persist                           [동] 고집하다, 지속하다
       reverse       [동] 뒤집다, 후진하다 [형] 반대의 [명] 반대, 후진
       support              [명] 떠받치, 지지 [동] 지지하다, 후원하다
        mammal                                 [명] 포유동물
       iceberg                                   [명] 빙산
      monetary                                  [형] 화폐의
        revise                           [동] 개정하다, 수정하다
        resent                          [동] 분개하다, 화를 내다
        superb                               [형] 매우 뛰어난
        abrupt                          [형] 갑작스런, 퉁명스러운
       diverse                                  [형] 다양한
      internal                             [형] 내부의, 체내의
         gloom                               [명] 우울, 어둠
        refine                           [동] 개선하다, 정제하다
       dynamic                            [형] 역동적인, 활발한
         nerve                                   [명] 신경
        prompt            [형] 신속한, 즉각적인 [동] 촉발하다, 자극하다
